id	filename	md5	size	state
233c9e01-a9da-4512-83f7-c6aded3c5fc4	TCGA-76-4925-01A-01-BS1.8c24a7d3-8b23-4914-8a2e-56c18a2c205c.svs	0248ef38ae4e651ea15fa1c357da9a36	106809547	live
9156112e-a0ea-4c18-846e-afe29127e8af	TCGA-02-0113-01A-01-TS1.d214ab63-9826-43c8-aa0d-1935da42b9cb.svs	a3c26e5322e26b0b3e3704f7a8f54944	473130957	live
13a93319-41ab-455e-ac9f-9255bb1a7413	TCGA-76-4931-01A-01-BS1.ce53c92c-5fdc-416f-92aa-128a50191cde.svs	4bedbba22214793ac1e5e71b2d3eb3e7	115238785	live
0fa60f80-0814-4e09-ae6d-689febf6fc9d	TCGA-32-1982-01A-01-TS1.86207e6f-7b07-4075-a0e9-c94ba3513754.svs	379975e7b1cbc66a3e5fa9902d2c99f9	55756489	live
8d647fcd-2903-470c-86ce-107e62252476	TCGA-02-0033-01A-01-BS1.325cc830-c031-4c5e-8d18-2d14eea0be9d.svs	80f912f6cd105d81ee09902be295c786	294997463	live
f4a55d1b-2dcd-492e-9858-084c689c555a	TCGA-02-2483-01A-01-BS1.b9c74415-0209-4042-ba7f-16f9834a0155.svs	09eb7a506b131165d2d36a9d9f618483	88592443	live
e029c758-a1c4-4306-8787-531cc42c0295	TCGA-06-0750-01A-01-TS1.d67c232c-737a-4cdc-8553-3a5fe0d82c8e.svs	af4be744f477b27241b036291d297929	98409577	live
15a8d6d7-f373-49d9-85f2-b8e2c2a145a8	TCGA-02-0451-01A-01-TS1.32c1fc60-a1be-4180-aef0-a35e0f42b53f.svs	333e8911429e7fdac1dd3ce76f95fab8	431644139	live
86f2895f-4bca-467a-beed-91dae9d04455	TCGA-02-0115-01A-01-BS1.fe42d30c-005e-4a57-a25e-b773f45af575.svs	e687c01024baa7bf9ee4d24833fca730	411450259	live
fe557e0f-b406-4d38-8ffb-107f774ab8aa	TCGA-02-0324-01A-01-BS1.f7119931-9d3d-4166-b701-0b2ab0ccc096.svs	8eb85a0fb797126167ff4a2e84132739	216177419	live
7d8b7bea-39f5-49af-87bb-a43ad8d1be6a	TCGA-06-5416-01A-01-BS1.dab19c9c-f1aa-436b-9fda-3b776c57ec4d.svs	95d563025442cf18a60f6406f1eb4a7c	15578689	live
